id,name,q
ein000001,"Ein April-Scherz",Q121463020
ein000010,"Die Verpfändung",Q120646668
ein000014,"Der Comödienfeind",Q105436023
ein000022,"Das Fest der Handwerker",Q1167816
ein000049,"Prinz Tu-Ta-Tu",Q111976082
ein000053,"Sieben Mädchen in Uniform",Q19971459
ein000058,"Amalie und Charlotte Baronessen von Habenichts: oder die ungleichen Schwestern",Q121592940
ein000346,"Das Lustlager",Q120648353
ein000088,"Das Urtheil des Paris",Q119779327
ein002714,"Der Berliner Kuckkastenmann",Q135336374
ein000118,"Der Gerettete Selbstmörder",Q136402563
ein000166,"Der von der Liebe betrogene Philosoph",Q124791412
ein000230,"Die Weiber-List",Q123991581
ein000235,"Die gedruckten Theater-Regeln, oder: Welcher Stand ist beßer?",Q124042831
ein000237,"Die Gespenster",Q121599107
ein000239,"Die Grands von Frankreich in ihrer wahren Gestalt",Q124262137
ein000258,"Die verhandelte Braut",Q123764926
ein000274,"Emilie oder die Philosophisch-Verliebten",Q121344428
ein000280,"Fanny",Q135044309
ein000347,"Das Winterquartier in Amerika",Q120492077
ein000348,"Die Maler",Q119144422
ein000365,"Eine Gastrolle",Q110059496
ein000377,"Der Paria",Q52791146
ein000379,"Dieterich von Ruben",Q137686132
ein000382,"Der Weiberfeind",Q133808196
ein000384,"Die Lügnerin",Q52785236
ein000386,"Eigensinn",Q133263257
ein002652,"Johanna Sebus",Q133258186
ein000388,"Unerschütterlich",Q123168591
ein000391,"Das eingebrachte Stündchen oder Gellert im Schlafrock",Q117377746
ein000394,"Der Hausherr in der Klemme",Q111939679
ein000415,"Der Kaiser und der Seiler",Q117377788
ein000416,"Wie ist das zugegangen?",Q117377814
ein000418,"Der Judenfeind",Q133270380
ein000453,"Odoardo Galotti, Vater der Emilia",Q51450870
ein002515,"Polytimet",Q118693622
ein000457,"Die amerikanische Waise",Q124796383
ein000079,"Das Kaffee-Haus zu Paris",Q124013500
ein000475,"Ino",Q52087857
ein000497,"Die antike Statue aus Florenz",Q117377838
ein000498,"Die Heirathslustigen",Q117377863
ein000499,"Die Überraschung",Q117377877
ein000502,"Die neue Messaline",Q87986345
ein000503,"Julus und Rhea",Q123909304
ein000574,"Der neue Narziß",Q112170260
ein000587,"Der Schatz",Q127242163
ein000600,"Die Eröffnungs-Rede",Q117382669
ein000603,"Ehestandswirren",Q117382698
ein000608,"Der Wundertrank",Q117382715
ein000617,"Die Katze läßt das Mausen nicht",Q113128710
ein000635,"Der Ahnherr",Q89888632
ein000662,"Perdu, oder: Dichter, Verleger und Blaustrümpfe",Q52893824
ein000673,"Der Dichterling, oder: Solche Insekten giebts die Menge",Q138656757
ein000678,"Die Vergiftete Traube",Q122749478
ein000681,"Der Pudelhund",Q105075429
ein000690,"Das beste Loos: Ein Mann!",Q117455526
ein000691,"Der entführte Offizier",Q117455574
ein000692,"Der Grosspapa",Q117467058
ein000693,"Der Vampyr",Q117467064
ein000694,"Die beiden Wittwen oder: Der Kontrast",Q117470297
ein000695,"Michel und Christine",Q117470310
ein000700,"Der Diamant",Q134267850
ein000701,"Der Edelknabe",Q123285728
ein000713,"Braitwell",Q133270100
ein000745,"Der Weihnachtstag",Q121590873
ein000746,"Der Gelehrte",Q101018064
ein000753,"Rosalie oder: Sie besinnt sich anders",Q117470319
ein000754,"Das unvermuthete Zusammentreffen oder: So rächt sich eine Deutsche",Q117470326
ein000755,"Der Geschäftige",Q117470330
ein000762,"Ramirus",Q123824760
ein000777,"Das Band",Q123510638
ein000779,"Sylvia",Q137738605
ein000793,"Der Blöde Schäfer",Q137738573
ein000794,"Philotas",Q95720389
ein000795,"Anna Bell",Q131634169
ein000799,"Das Jahrmarktsfest zu Plundersweilern",Q1678697
ein000800,"Der Bürgergeneral",Q1192735
ein000801,"Die Geschwister",Q1212977
ein000802,"Die Laune des Verliebten",Q1214293
ein000803,"Die Mitschuldigen",Q1214841
ein000804,"Die Wette",Q41744079
ein000811,"Die stolze Vasthi",Q131753547
ein000814,"Medea",Q3853644
ein000819,"Die Widersprecherinn",Q117470337
ein000820,"Herr Witzling",Q55102908
ein000823,"Der Gastfreund",Q104443343
ein000145,"Der Physiognomist. Oder: Keine Regel ohn' Ausnahme",Q120196971
ein000857,"Die reisenden Komödianten, oder der gescheide und dämische Impressario",Q78728476
ein000888,"Allzuviel an einem Tage",Q117470345
ein000902,"Ein Trauerspiel in Sicilien",Q56439572
ein000903,"Marie und Emilie",Q133270749
ein000914,"William Ratcliff",Q21552749
ein002746,"Der Zwischenact",Q134487611
ein002747,"Der Advokat",Q135334624
ein000991,"Hoang-Puff",Q111669378
ein001004,"Der Stammbaum",Q110080014
ein001005,"Die beiden Billets",Q79349104
ein001015,"Der Mann nach der Uhr, oder der ordentliche Mann",Q51393766
ein001017,"Beth' und arbeit, Gott hilft alle Zeit",Q117472506
ein001018,"Brigitte, oder sie fällt mit der Thür zum Haus hinein",Q117472517
ein001019,"Das bestrafte Verbrechen",Q118346936
ein001020,"Das Gespenst",Q118346947
